metro_area,start_date,end_date,category,measure,encoding,authority,source
Brisbane,2020-01-29,NA,State of Emergency,State-wide state of emergency,1,Queensland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Queensland
San Diego,2020-03-04,NA,State of Emergency,State-wide state of emergency,1,California,https://en.wikipedia.org/wiki/California_government_response_to_the_COVID-19_pandemic
San Francisco,2020-03-04,NA,State of Emergency,State-wide state of emergency,1,California,https://en.wikipedia.org/wiki/California_government_response_to_the_COVID-19_pandemic
Philadelphia,2020-03-06,2021-06-15,State of Emergency,State-wide state of emergency,1,Pennsylvania,https://apnews.com/article/pennsylvania-health-coronavirus-pandemic-government-and-politics-c6ccc6e59b3187535a8a21cfe5a2e075
New York,2020-03-07,NA,State of Emergency,State-wide state of emergency,1,New York State,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_York_%28state%29
Chicago,2020-03-09,2022-02-15,State of Emergency,State-wide state of emergency,1,Illinois,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Illinois
Calgary,2020-03-12,2020-03-28,Gathering Restrictions,Prohibit indoor gatherings of over 250 people,1,Alberta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alberta
Montréal,2020-03-12,2020-03-20,Gathering Restrictions,Prohibit indoor gatherings of over 250 people,1,Québec,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Quebec
New York,2020-03-12,2020-03-20,Gathering Restrictions,Prohibit indoor gatherings of over 250 people,1,New York State,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_York_%28state%29
Philadelphia,2020-03-12,2020-03-23,Gathering Restrictions,"Prohibit indoor gatherings of over 1,000 people",1,Pennsylvania,https://www.phillymag.com/news/2020/03/12/coronavirus-philadelphia-event-cancellatons/
San Diego,2020-03-12,2020-03-19,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,California,https://www.msn.com/en-us/news/other/biden-administration-to-lift-international-travel-ban-in-november/vi-AAPzn2L
San Francisco,2020-03-12,2020-03-17,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,California,https://www.msn.com/en-us/news/other/biden-administration-to-lift-international-travel-ban-in-november/vi-AAPzn2L
Montréal,2020-03-12,NA,State of Emergency,Province-wide state of emergency,1,Québec,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Quebec
Phoenix,2020-03-12,2020-07-01,State of Emergency,State-wide state of emergency,1,Arizona,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Arizona
Toronto,2020-03-13,2020-03-16,Gathering Restrictions,Prohibit indoor gatherings of over 250 people,1,Ontario,https://www.ontario.ca/page/framework-reopening-our-province
Paris,2020-03-13,2020-03-16,Gathering Restrictions,Prohibit indoor gatherings of over 100 people,1,France,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_France
Dallas,2020-03-13,2021-06-10,State of Emergency,State-wide state of emergency,1,Texas,https://www.dshs.state.tx.us/coronavirus/execorders.aspx
Houston,2020-03-13,2021-06-10,State of Emergency,State-wide state of emergency,1,Texas,https://www.dshs.state.tx.us/coronavirus/execorders.aspx
San Antonio,2020-03-13,2021-06-10,State of Emergency,State-wide state of emergency,1,Texas,https://www.dshs.state.tx.us/coronavirus/execorders.aspx
Chicago,2020-03-16,2020-03-21,Gathering Restrictions,Prohibit indoor gatherings of over 50 people,1,Illinois,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Illinois
San Antonio,2020-03-16,2020-03-19,Gathering Restrictions,Prohibit indoor gatherings of over 50 people,1,San Antonio,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Texas
Toronto,2020-03-16,2020-03-25,Gathering Restrictions,Prohibit indoor gatherings of over 50 people,1,Ontario,https://www.ontario.ca/page/framework-reopening-our-province
Paris,2020-03-16,2020-05-11,Gathering Restrictions,Prohibit all indoor gatherings,3,France,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_France
San Francisco,2020-03-17,2021-03-02,Gathering Restrictions,Prohibit all indoor gatherings,3,San Francisco,https://en.wikipedia.org/wiki/California_government_response_to_the_COVID-19_pandemic
Calgary,2020-03-17,2020-06-12,State of Emergency,Province-wide state of emergency,1,Alberta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alberta
Toronto,2020-03-17,2020-07-24,State of Emergency,Province-wide state of emergency,1,Ontario,https://www.ontario.ca/document/report-ontarios-provincial-emergency-march-17-2020-july-24-2020
Paris,2020-03-17,2020-07-01,Major Border Closure,Non-EU border closure,1,France,https://www.npr.org/sections/goatsandsoda/2020/03/17/816994811/eu-to-shut-borders-as-france-germany-tighten-restrictions-to-control-coronavirus
Brisbane,2020-03-18,2020-03-29,Gathering Restrictions,Prohibit indoor gatherings of over 100 people,1,Australia,https://www.bbc.com/news/world-australia-51939211
Dallas,2020-03-19,2020-03-23,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,Texas,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Texas
Houston,2020-03-19,2020-03-24,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,Texas,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Texas
San Antonio,2020-03-19,2020-03-24,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,Texas,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Texas
San Diego,2020-03-19,2020-05-26,Gathering Restrictions,Prohibit all indoor gatherings,3,California,https://en.wikipedia.org/wiki/California_government_response_to_the_COVID-19_pandemic
Calgary,2020-03-20,2021-08-09,Major Border Closure,U.S. border closure,1,Canada,https://www.canada.ca/en/border-services-agency/news/2020/04/travel-restrictions-still-in-place-at-international-border-crossings-for-the-upcoming-long-weekend.html
Montréal,2020-03-20,2020-05-22,Gathering Restrictions,Prohibit all indoor gatherings,3,Québec,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Quebec
New York,2020-03-20,2020-05-22,Gathering Restrictions,Prohibit all indoor gatherings,3,New York State,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_York_%28state%29
Chicago,2020-03-20,2021-11-08,Major Border Closure,Ban on non-essential travel,1,United States,https://www.msn.com/en-us/news/other/biden-administration-to-lift-international-travel-ban-in-november/vi-AAPzn2L
Dallas,2020-03-20,2021-11-08,Major Border Closure,Ban on non-essential travel,1,United States,https://www.msn.com/en-us/news/other/biden-administration-to-lift-international-travel-ban-in-november/vi-AAPzn2L
Houston,2020-03-20,2021-11-08,Major Border Closure,Ban on non-essential travel,1,United States,https://www.msn.com/en-us/news/other/biden-administration-to-lift-international-travel-ban-in-november/vi-AAPzn2L
San Antonio,2020-03-20,2021-11-08,Major Border Closure,Ban on non-essential travel,1,United States,https://www.msn.com/en-us/news/other/biden-administration-to-lift-international-travel-ban-in-november/vi-AAPzn2L
Toronto,2020-03-20,2021-08-09,Major Border Closure,U.S. border closure,1,Canada,https://www.canada.ca/en/border-services-agency/news/2020/04/travel-restrictions-still-in-place-at-international-border-crossings-for-the-upcoming-long-weekend.html
Montréal,2020-03-20,2021-08-09,Major Border Closure,U.S. border closure,1,Canada,https://www.canada.ca/en/border-services-agency/news/2020/04/travel-restrictions-still-in-place-at-international-border-crossings-for-the-upcoming-long-weekend.html
New York,2020-03-20,2021-11-08,Major Border Closure,Ban on non-essential travel,1,United States,https://www.msn.com/en-us/news/other/biden-administration-to-lift-international-travel-ban-in-november/vi-AAPzn2L
Philadelphia,2020-03-20,2021-11-08,Major Border Closure,Ban on non-essential travel,1,United States,https://www.msn.com/en-us/news/other/biden-administration-to-lift-international-travel-ban-in-november/vi-AAPzn2L
Phoenix,2020-03-20,2021-11-08,Major Border Closure,Ban on non-essential travel,1,United States,https://www.msn.com/en-us/news/other/biden-administration-to-lift-international-travel-ban-in-november/vi-AAPzn2L
San Diego,2020-03-20,2021-11-08,Major Border Closure,Ban on non-essential travel,1,United States,https://www.msn.com/en-us/news/other/biden-administration-to-lift-international-travel-ban-in-november/vi-AAPzn2L
San Francisco,2020-03-20,2021-11-08,Major Border Closure,Ban on non-essential travel,1,United States,https://www.msn.com/en-us/news/other/biden-administration-to-lift-international-travel-ban-in-november/vi-AAPzn2L
Chicago,2020-03-21,2020-06-03,Gathering Restrictions,Prohibit all indoor gatherings,3,Illinois,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-shelter-in-place-lockdown-order-20200320-teedakbfw5gvdgmnaxlel54hau-story.html
Calgary,2020-03-23,2020-06-01,Park Closures,City playground closures,1,Alberta,https://calgary.ctvnews.ca/calgary-playgrounds-closed-amid-covid-19-pandemic-1.4864412
Dallas,2020-03-23,2020-05-15,Gathering Restrictions,Prohibit all indoor gatherings,3,Dallas County,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Texas
Philadelphia,2020-03-23,2020-06-10,Gathering Restrictions,Prohibit all indoor gatherings,3,Philadelphia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Pennsylvania
